patch_index,reuse_vs_pedalboard__log_spectral_distance_db,reuse_vs_pedalboard__spectral_convergence,reuse_vs_pedalboard__normalized_rms_difference,reload_vs_pedalboard__log_spectral_distance_db,reload_vs_pedalboard__spectral_convergence,reload_vs_pedalboard__normalized_rms_difference,reuse_vs_reload__log_spectral_distance_db,reuse_vs_reload__spectral_convergence,reuse_vs_reload__normalized_rms_difference
0,8.10689838948027e-05,5.019954799438267e-08,0.0,8.10689838948027e-05,5.019954799438267e-08,0.0,0.0,0.0,0.0
1,1.1148418349553271e-05,4.928224004027005e-08,0.0,1.1148418349553271e-05,4.928224004027005e-08,0.0,0.0,0.0,0.0
3,2.9173107565600294e-06,5.0463153547341976e-08,0.0,2.9173107565600294e-06,5.0463153547341976e-08,0.0,0.0,0.0,0.0
5,3.659747276382857e-05,5.508818153095335e-08,0.0,3.659747276382857e-05,5.508818153095335e-08,0.0,0.0,0.0,0.0
7,2.9560594265050107e-05,5.019734753562336e-08,0.0,2.9560594265050107e-05,5.019734753562336e-08,0.0,0.0,0.0,0.0
8,6.36226077992826e-05,5.3351057444285974e-08,0.0,6.36226077992826e-05,5.3351057444285974e-08,0.0,0.0,0.0,0.0
9,7.510386101590871e-06,4.7670109214817e-08,0.0,7.510386101590871e-06,4.7670109214817e-08,0.0,0.0,0.0,0.0
10,6.346621619036233e-05,5.504292618347658e-08,0.0,6.346621619036233e-05,5.504292618347658e-08,0.0,0.0,0.0,0.0
11,9.145779416663824,1.386278635311135,1.4158028107474976,9.125144678194568,1.1865284149462976,1.416691837677137,8.15183162689209,1.0861314535140991,1.4254789352416992
12,8.855187561547448,0.84511846830587,1.455604314015187,9.803991322884603,1.264787955950256,1.4196753806694573,9.841904640197754,1.3043218851089478,1.4238431453704834
13,1.9127682847529736e-05,5.543817333679089e-08,0.0,1.9127682847529736e-05,5.543817333679089e-08,0.0,0.0,0.0,0.0
14,8.332474681169506,1.3750454794976672,1.4221216214229508,8.50149483443037,1.383400691456399,1.416520225548451,8.262622833251953,1.3801454305648804,1.4195085763931274
15,3.1228818133536503e-05,4.946304959420923e-08,0.0,3.1228818133536503e-05,4.946304959420923e-08,0.0,0.0,0.0,0.0
16,7.102122119006499e-05,4.6497311778211725e-08,0.0,7.102122119006499e-05,4.6497311778211725e-08,0.0,0.0,0.0,0.0
17,1.2264668444461336e-05,4.693359909920515e-08,0.0,1.2264668444461336e-05,4.693359909920515e-08,0.0,0.0,0.0,0.0
18,1.5421403666539712e-05,5.345805478793262e-08,0.0,1.5421403666539712e-05,5.345805478793262e-08,0.0,0.0,0.0,0.0
19,1.0040018225674432e-05,5.652929980313991e-08,0.0,1.0040018225674432e-05,5.652929980313991e-08,0.0,0.0,0.0,0.0
21,5.401574715609542e-06,4.727035025085012e-08,0.0,5.401574715609542e-06,4.727035025085012e-08,0.0,0.0,0.0,0.0
22,0.00013463551263571957,5.314232714857914e-08,0.0,0.00013463551263571957,5.314232714857914e-08,0.0,0.0,0.0,0.0
23,5.772578045507669e-05,4.143314171250842e-08,0.0,5.772578045507669e-05,4.143314171250842e-08,0.0,0.0,0.0,0.0
24,8.081899001819718e-05,5.1451974842811806e-08,0.0,8.081899001819718e-05,5.1451974842811806e-08,0.0,0.0,0.0,0.0
25,3.939291328820971e-05,5.056455997807157e-08,0.0,3.939291328820971e-05,5.056455997807157e-08,0.0,0.0,0.0,0.0
26,0.00010244350403998627,4.875159679375496e-08,0.0,0.00010244350403998627,4.875159679375496e-08,0.0,0.0,0.0,0.0
27,0.00037277462372185756,4.978221179112726e-08,0.0,0.00037277462372185756,4.978221179112726e-08,0.0,0.0,0.0,0.0
28,6.353858700979613,1.019782579699574,1.2869852124090038,6.598989607924833,1.0026727139947467,1.4382281134235126,6.225647926330566,0.9879801273345947,1.4201018810272217
29,1.1342108352519739e-05,4.679064277185239e-08,0.0,1.1342108352519739e-05,4.679064277185239e-08,0.0,0.0,0.0,0.0
30,1.9735091242741403e-05,4.977235272310927e-08,0.0,1.9735091242741403e-05,4.977235272310927e-08,0.0,0.0,0.0,0.0
31,8.809269569256379e-05,4.373360935946418e-08,0.0,8.809269569256379e-05,4.373360935946418e-08,0.0,0.0,0.0,0.0
32,8.300796240637826,1.3862395343393554,1.4111994807880166,7.870250964539249,1.3851905864599192,1.4111832608778083,7.832801818847656,1.2205111980438232,1.4016019105911255
34,2.8910742483817107e-05,4.8735592503043473e-08,0.0,2.8910742483817107e-05,4.8735592503043473e-08,0.0,0.0,0.0,0.0
35,3.2184648632099815e-06,5.320712110923244e-08,0.0,3.2184648632099815e-06,5.320712110923244e-08,0.0,0.0,0.0,0.0
36,7.074103739700722,1.1335181262750502,1.4299068981752325,6.734425475681101,1.0195958964053908,1.3016862010706014,6.7220988273620605,1.1676660776138306,1.4181938171386719
37,4.0339810085671986e-05,5.713234995587906e-08,0.0,4.0339810085671986e-05,5.713234995587906e-08,0.0,0.0,0.0,0.0
38,4.696837905228911e-06,5.3165214472591507e-08,0.0,4.696837905228911e-06,5.3165214472591507e-08,0.0,0.0,0.0,0.0
39,1.173306814863369e-05,5.046752364514318e-08,0.0,1.173306814863369e-05,5.046752364514318e-08,0.0,0.0,0.0,0.0
40,8.3023784514504e-05,5.252415337368983e-08,0.0,8.3023784514504e-05,5.252415337368983e-08,0.0,0.0,0.0,0.0
41,1.7440285858597666e-05,5.6576602605944146e-08,0.0,1.7440285858597666e-05,5.6576602605944146e-08,0.0,0.0,0.0,0.0
43,0.00037314781917654934,4.926454783269495e-08,0.0,0.00037314781917654934,4.926454783269495e-08,0.0,0.0,0.0,0.0
44,5.3983962921044084e-05,5.08180043724914e-08,0.0,5.3983962921044084e-05,5.08180043724914e-08,0.0,0.0,0.0,0.0
