patch_index,log_spectral_distance_db,spectral_convergence,normalized_rms_difference
0,8.10689838948027e-05,5.019954799438267e-08,0.0
1,1.1148418349553271e-05,4.928224004027005e-08,0.0
3,2.9173107565600294e-06,5.0463153547341976e-08,0.0
5,3.659747276382857e-05,5.508818153095335e-08,0.0
7,2.9560594265050107e-05,5.019734753562336e-08,0.0
8,6.36226077992826e-05,5.3351057444285974e-08,0.0
9,7.510386101590871e-06,4.7670109214817e-08,0.0
10,6.346621619036233e-05,5.504292618347658e-08,0.0
11,8.541197135614956,1.2614421253229144,1.4498502628227217
12,7.597264759446983,1.1020436611981472,1.4180053637104806
13,1.9127682847529736e-05,5.543817333679089e-08,0.0
14,8.58349211158705,1.364839566904066,1.416194593833382
15,3.1228818133536503e-05,4.946304959420923e-08,0.0
16,7.102122119006499e-05,4.6497311778211725e-08,0.0
17,1.2264668444461336e-05,4.693359909920515e-08,0.0
18,1.5421403666539712e-05,5.345805478793262e-08,0.0
19,1.0040018225674432e-05,5.652929980313991e-08,0.0
21,5.401574715609542e-06,4.727035025085012e-08,0.0
22,0.00013463551263571957,5.314232714857914e-08,0.0
23,5.772578045507669e-05,4.143314171250842e-08,0.0
24,8.081899001819718e-05,5.1451974842811806e-08,0.0
25,3.939291328820971e-05,5.056455997807157e-08,0.0
26,0.00010244350403998627,4.875159679375496e-08,0.0
27,0.00037277462372185756,4.978221179112726e-08,0.0
28,5.946292436912578,0.7106541029273196,1.2598869301216205
29,1.1342108352519739e-05,4.679064277185239e-08,0.0
30,1.9735091242741403e-05,4.977235272310927e-08,0.0
31,8.809269569256379e-05,4.373360935946418e-08,0.0
32,7.9118658585084125,1.3685081995475035,1.4047297554923062
34,2.8910742483817107e-05,4.8735592503043473e-08,0.0
35,3.2184648632099815e-06,5.320712110923244e-08,0.0
36,6.721325590907329,0.9361690336995605,1.3928386185333583
37,4.0339810085671986e-05,5.713234995587906e-08,0.0
38,4.696837905228911e-06,5.3165214472591507e-08,0.0
39,1.173306814863369e-05,5.046752364514318e-08,0.0
40,8.3023784514504e-05,5.252415337368983e-08,0.0
41,1.7440285858597666e-05,5.6576602605944146e-08,0.0
43,0.00037314781917654934,4.926454783269495e-08,0.0
44,5.3983962921044084e-05,5.08180043724914e-08,0.0
45,6.297296685171019e-05,5.355638372318947e-08,0.0
46,5.325010834877768e-05,5.138393124366115e-08,0.0
47,6.61630630598275e-05,4.5651233662583616e-08,0.0
48,5.358387949059126e-06,5.046023735736259e-08,0.0
49,3.967688419980619e-05,5.081029103527936e-08,0.0
50,1.9617079945290082e-05,4.874580672186724e-08,0.0
51,5.507658848756565e-06,4.9303676329837375e-08,0.0
52,5.19577362516179e-05,4.93811200039752e-08,0.0
53,0.00010599583260637916,4.423054495827117e-08,0.0
54,5.394645228742926e-05,4.848566763080212e-08,0.0
55,4.941586623038652e-06,5.0396090040422304e-08,0.0
56,8.59484474515413,1.07981600378131,1.416817888710807
57,8.509959568359749,1.3244413428657815,1.4171548737110042
58,0.0002904142550571588,5.562866611225671e-08,0.0
59,8.959941251601373,1.2347757609803984,1.416814172352974
60,4.447282645036952e-05,5.559115695923593e-08,0.0
62,0.00019733706595289027,5.262403139233464e-08,0.0
63,6.816413414851459e-06,5.320269217504196e-08,0.0
64,4.352009293619037e-05,5.615018673116207e-08,0.0
65,7.911751765764813e-05,4.1659559244199095e-08,0.0
68,4.722291848798374e-05,4.673787212578909e-08,0.0
70,3.751117932283931e-05,4.8974052911775e-08,0.0
71,0.00011106057252660178,4.7132582075618564e-08,0.0
73,0.00011831405372786048,4.790205933695079e-08,0.0
74,1.836116530980888e-05,5.965324422316269e-08,0.0
75,1.0921298289761848e-05,5.1706237545434564e-08,0.0
76,4.3220886824079676e-05,6.55206447933997e-08,0.0
77,0.00010038940150780899,5.132930989368986e-08,0.0
78,4.468806457491196e-05,5.039307334003789e-08,0.0
79,0.0007302236802312142,4.770039830525003e-08,0.0
81,0.00012159913465383069,5.021072474877801e-08,0.0
82,2.546439427567784e-05,5.0156439793132357e-08,0.0
83,9.32193637521337e-05,4.547052530703541e-08,0.0
84,6.113957012122608e-05,4.3344451849469685e-08,0.0
85,9.917473321567384e-06,5.0431405628969136e-08,0.0
86,4.464423444588246e-05,5.5275780596487286e-08,0.0
87,6.742016603801366,0.3299071188874505,1.223571075249206
88,3.3513350122294576e-05,4.886719803278962e-08,0.0
89,7.439697959758749e-05,5.060623882762081e-08,0.0
90,3.835266387146609e-05,5.079657417087522e-08,0.0
92,0.0001290053269173629,4.7062933972907606e-08,0.0
93,9.179797194120341e-06,5.098643462803566e-08,0.0
94,6.0407423020765436e-05,4.749395534125147e-08,0.0
95,9.337986615298721,1.3147672305243023,1.412294062178187
99,0.00016532787218433853,5.214230065185644e-08,0.0
100,0.00033189082383943926,5.101449654383024e-08,0.0
101,0.00010091217003250991,5.4576416575017434e-08,0.0
104,0.00026767085589872415,5.179511834106353e-08,0.0
105,4.192413313631907e-05,5.0586641404861827e-08,0.0
106,2.512624628389372e-05,4.9277875229322546e-08,0.0
108,8.324066737784839e-05,5.095460599367421e-08,0.0
109,0.0006227434406069749,5.0462874513787044e-08,0.0
110,5.504749420322677e-05,4.62080254220291e-08,0.0
111,6.60872324868042e-06,5.0136632999890044e-08,0.0
112,0.00017127140488339417,5.287454326186968e-08,0.0
113,2.0865584250006072e-05,5.118686180167961e-08,0.0
114,2.07133069070469e-05,4.898379638102749e-08,0.0
115,0.0002217152797058217,4.961437848314805e-08,0.0
116,2.4426633076068913e-05,4.931184802407849e-08,0.0
117,0.00030982222521443994,4.7728565503500286e-08,0.0
118,6.0499434816924604e-05,5.170906563512726e-08,0.0
121,7.530523530083124,0.8824396344713088,1.4435952164474828
124,0.0002101012343326123,4.8053564882133114e-08,0.0
125,2.3876566365368033e-05,5.259113015996343e-08,0.0
126,2.552477493559044e-05,4.380286382379319e-08,0.0
